geonameid,name,asciiname,country_code,admin1_code,admin2_code,admin3_code,admin4_code,feature_class,feature_code,population,latitude,longitude,timezone,geonames_modified_at,in_cities15000,in_cities5000,in_cities1000,in_cities500,assigned_phase
1803073,Liujiage,Liujiage,CN,12,4209,,,P,PPLA4,0,30.75802,113.80856,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803078,Liujiading,Liujiading,CN,28,12324202,,,P,PPL,540,39.96306,117.19111,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803081,Liujiachang,Liujiachang,CN,12,4210,,,P,PPLA4,0,30.0606,111.47068,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803085,Liuhao,Liuhao,CN,04,3206,,,P,PPLA4,0,32.05805,121.48555,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803093,Liuji,Liuji,CN,26,6105,,,P,PPLA4,0,34.77336,109.3064,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803103,Liuji,Liuji,CN,04,3210,,,P,PPLA4,0,32.434,119.25087,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803105,Liuji,Liuji,CN,12,4209,,,P,PPLA4,0,31.36866,114.37021,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803107,Liuhuang,Liuhuang,CN,30,4414,,,P,PPLA4,0,23.91103,116.45413,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803109,Liuhou,Liuhou,CN,12,4206,,,P,PPLA4,0,31.48447,112.02225,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803122,Liuhe,Liuhe,CN,09,4113,,,P,PPLA4,0,33.31703,112.80076,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803124,Liuhe,Liuhe,CN,04,3205,,,P,PPLA4,0,31.50862,121.26276,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803125,Liuhe,Liuhe,CN,12,4211,,,P,PPLA4,0,30.30032,115.57828,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803145,Liugu,Liugu,CN,26,6105,,,P,PPLA4,0,34.74417,109.27771,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803154,Liufu,Liufu,CN,01,3411,,,P,PPLA4,0,32.77639,117.3375,Asia/Shanghai,2021-09-19,false,false,false,true,cities500
1803157,Liufang,Liufang,CN,03,3604,,,P,PPLA4,0,29.54166,116.26614,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803159,Liuduzhai,Liuduzhai,CN,11,4305,,,P,PPLA4,8970,27.36611,110.935,Asia/Shanghai,2021-09-20,false,true,true,true,cities5000
1803165,Liudu,Liudu,CN,18,5203,,,P,PPLA4,0,28.3111,107.50492,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803167,Liudu,Liudu,CN,30,4412,,,P,PPLA4,0,23.07729,112.00339,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803170,Liudong,Liudong,CN,12,,,,P,PPLA4,0,33.15522,111.11501,Asia/Shanghai,2013-06-04,false,false,false,true,cities500
1803193,Liucheng,Liucheng,CN,32,5101,,,P,PPLA3,0,30.7,103.83771,Asia/Shanghai,2021-09-20,false,false,true,true,cities1000
1803195,Liucheng,Liucheng,CN,30,4416,,,P,PPLA4,0,24.03481,115.1182,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803197,Liuche,Liuche,CN,03,3607,,,P,PPLA4,0,24.72876,115.63522,Asia/Shanghai,2024-07-13,false,false,false,true,cities500
1803206,Liubo,Liubo,CN,11,4331,,,P,PPLA4,0,28.22199,109.45885,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803212,Liuba,Liuba,CN,15,6207,,,P,PPLA4,0,38.64889,100.71861,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803214,Liuba,Liuba,CN,26,6107,,,P,PPLA3,0,33.61861,106.91889,Asia/Shanghai,2021-09-20,false,false,true,true,cities1000
1803216,Aozhong,Aozhong,CN,07,3506,,,P,PPLA4,0,23.93501,117.74771,Asia/Shanghai,2024-07-13,false,false,false,true,cities500
1803217,Liu’anzhuang,Liu'anzhuang,CN,28,12324202,,,P,PPL,4698,39.23868,117.19819,Asia/Shanghai,2021-09-20,false,false,true,true,cities1000
1803221,Liqiao,Liqiao,CN,01,3418,,,P,PPLA4,0,31.2174,118.92124,Asia/Shanghai,2021-09-19,false,false,false,true,cities500
1803223,Litian,Litian,CN,03,3608,,,P,PPLA4,0,27.21122,114.72949,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803224,Litian,Litian,CN,03,3608,,,P,PPLA4,0,27.01691,114.14013,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803225,Litian,Litian,CN,07,3504,,,P,PPLA4,0,26.01517,116.69964,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803233,Lita,Lita,CN,03,3610,,,P,PPLA4,0,27.3588,116.53552,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803245,Lishui,Lishui,CN,02,3311,,,P,PPLA2,451418,28.46042,119.91029,Asia/Shanghai,2025-10-24,true,true,true,true,cities15000
1803255,Lishi,Lishi,CN,24,1411,,,P,PPLA3,0,37.51556,111.13417,Asia/Shanghai,2018-12-06,false,false,true,true,cities1000
1803257,Lishi,Lishi,CN,33,8739734,,,P,PPLA4,66620,29.07888,106.262,Asia/Shanghai,2022-04-03,true,true,true,true,cities15000
1803258,Lishi,Lishi,CN,30,4402,,,P,PPLA4,0,24.90143,113.52487,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803259,Lishi,Lishi,CN,03,3607,,,P,PPLA3,0,24.77206,115.02568,Asia/Shanghai,2023-05-11,false,false,true,true,cities1000
1803262,Lishao,Lishao,CN,30,4453,,,P,PPLA4,0,22.72006,111.46138,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803266,Lintong,Lintong,CN,26,6101,,,P,PPLA3,75882,34.37803,109.20892,Asia/Shanghai,2021-09-20,true,true,true,true,cities15000
1803267,Lishan,Lishan,CN,12,4213,,,P,PPLA3,0,31.85764,113.29505,Asia/Shanghai,2021-09-20,false,false,true,true,cities1000
1803277,Liren,Liren,CN,03,3607,,,P,PPLA4,0,24.89896,114.87812,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803281,Liquan Chengguanzhen,Liquan Chengguanzhen,CN,26,6104,,,P,PPLA3,0,34.48111,108.42361,Asia/Shanghai,2021-09-20,false,false,true,true,cities1000
1803283,Liqizhuang,Liqizhuang,CN,28,12324202,,,P,PPLA4,0,39.06982,117.16198,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803290,Lipu,Lipu,CN,02,3307,,,P,PPLA4,0,29.10463,119.8044,Asia/Shanghai,2021-09-19,false,false,false,true,cities500
1803298,Linzi,Linzi,CN,04,3206,,,P,PPLA4,0,32.29773,120.74136,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803300,Liuzhou,Liuzhou,CN,16,4502,,,P,PPLA2,1436599,24.32405,109.40698,Asia/Shanghai,2026-04-29,true,true,true,true,cities15000
